,judul,nim,kata_kunci,mix_feature
85,PEMODELAN OBJEK BUDAYA SASTRA INDONESIA BERBASIS SEMANTIC WEB,71150113,"semantic web, methontology, ontologi, sastra, Indonesia, endpoint, id.dbpedia.org, protégé",model objek budaya sastra indonesia bas semantic website site  sastra wadah seni tampil indah bahasa tarik variasi penuh imajinasi jenis karya sastra indonesia prosa puisi drama jenis sastra milik periodisasi angkat informasi objek budaya terap teknologi informasi komunikasi tik tik bantu masyarakat cari informasi objek budaya salah semantic website site  manfaat semantic website site  informasi sastra indonesia representasi bentuk ontologi teliti ontologi bangun metodologi methontology metodologi methontology teliti 4 tahap spesifikasi knowledge acquisition konseptualisasi implementasi tahap spesifikasi ruang lingkup ontologi objek budaya tahap knowledge acquisition analisa teks informal ajar konsep utama buku tahap konseptualisasi ekstraksi terap n-triple subjek predikat objek tahap konseptual hasil diagram t-box model objek tahap implementasi bangun ontologi objek budaya sastra indonesia bentuk owl aplikasi prot informasi sastra indonesia bangun bahasa pemrograman javascript framework vue js pemrograman website site  bas semantic website site  teliti hubung resource sastra indonesia resources id dbpedia org endpoint dbpedia indonesia teliti lapor hasil tahap spesifikasi knowledge acquisition konseptualisasi implementasi hasil teliti representasi sastra indonesia bas owl semantic website site  semantic website site  methontology ontologi sastra indonesia endpoint id dbpedia org prot
86,PEMBUATAN WEB SISTEM INFORMASI JEMAAT PADA GEREJA GKI IMANNUEL SERUI KOTA,71150059,"Sistem informasi, UCD, Black box, SUS", website site sistem informasi jemaat gereja gki imannuel serui kota sistem informasi organisasi rancang tangan olah data organisasi upa informasi giat organisasi komputerisasi mudah tingkat butuh administrasi sistem informasi layan jemaat gereja gki imannuel serui kota bas website site  bantu administrasi gereja olah data gereja diakonia giat jemaat imanuael serui kota pendeta keluarga giat cari informasi putar gereja mudah tingkat kualitas layan gereja gki imannuel serui kota mudah jemaat informasi pimpin gereja mudah kelola metode user ucd design ucd fokus kunci optimal proses teliti tulis sistem informasi jemaat gereja gki imannuel serui kota bas website site  perhati interface sistem mudah akses muda lansia hasil teliti dasar uji black box hasil simpul fungsional sesuai kegunaanya uji puas system usability scale sus rata persentase simpul sistem informasi gereja gki imannuel serui kota terima sistem informasi ucd black box sus
87,PEMBANGUNAN DATA WAREHOUSE DAN DASHBOARD UNTUK MENDUKUNG ANALISIS KRS DAN KHS MAHASISWA,71150088,"KRS & KHS, Goal-Directed design, performance metric, KPI, Dashboard",bangun data warehouse dashboard dukung  analisa krs khs mahasiswa data kait kuliah hasil mahasiswa daftar milik data semester data kuliah upa kartu rencana studi krs data kuliah upa kartu hasil studi khs data simpan rekap giat administrasi buah instansi guru tinggi rencana strategis lapor nilai akreditasi buah institusi guru tinggi teliti bantu kaprodi analisa data indikator dashboard media visualisasi data muka dashboard bangun metode goal-directed design tahap research wawancara kaprodi informatika pegawai dukung akademik staff ppa akademik uji user interface dashboard metode performance metric hasil uji binary success responden pilih evaluasi user experience kuesioner user experience questionnaire ueq hasil excellent skala daya tarik nilai 1 stimulasi nilai 1 baharu nilai 1 hasil good skala nilai 1 efisiensi nilai 1 krs khs goal-directed design performance metric kpi dashboard
88,SISTEM PENDUKUNG KEPUTUSAN PEMILIHAN MAKANAN PADA APLIKASI PESAN MAKANAN ONLINE MENGGUNAKAN METODE AHP-TOPSIS,71150074,"Overchoice, Choice overload, AHP, TOPSIS, Android, Java, Perankingan",sistem dukung putus pilih makan aplikasi pesan makan online metode ahp-topsis pangan salah butuh utama hidup manusia kembang zaman pangan inovasi olah mudah temu sedia jasa pesan makan delivery order mudah beli makan kerap muncul nama overchoice choice overload bingung mes makan menu makan sedia mood makan overchoice choice overload proses kognitif alami sulit ambil putus pilih teliti tulis aplikasi bas android java programming language implementasi metode analytic hierarchy process ahp-topsis metode technique for order preference by similarity to ideal solution ahp-topsis pilih 3 menu makan bobot dasar kriteria menu makan bobot hitung hasil output ranking makan menu pilih uji hasil hitung sistem hasil nilai hitung manual 3 responden ranking makan hasil hitung metode ahp-topsis ahp-topsis overchoice choice overload ahp-topsis ahp-topsis android java perankingan
89,PERANCANGAN DASHBOARD DATA UMAT PAROKI SANTA MARIA ASSUMPTA KLATEN BERBASIS WEB,71150020,"Dashboard, user centered design, usability, website.",ancang dashboard data umat paroki santa maria assumpta klaten bas website site  kembang proses teknologi bidang informasi bawa dampak luas sektor hidup butuh informasi cepat akurat bahan ambil putus dashboard tampil visual butuh capai gabung atur layer informasi pantau kilas iring data umat tahun paroki sistem pantau tampil data umat paroki efisien teliti tulis rancang sistem informasi dashboard alat bantu monitoring data umat paroki import database paroki tabel rekapitulasi data tahun rancang desain dashboard uji usability  analisa data usability evaluasi data usability analisa task success usability metrics for effectiveness time on task usability metrics for efficiency system usability scale sus usability metrics for satisfaction dasar uji responden dewan paroki 3 usability metrics hasil simpul hasil uji usability time on task nilai rata 5 detik nilai efficiency 0 1 goals sec hasil uji usability task success nilai rata sukses hasil uji sus angka rata 4 dashboard terima acceptable grade rating excellent dasar hasil simpul metode user ucd design sesuai rancang dashboard bantu cari olah data efektif efisien dashboard user ucd design usability website site site
90,ANALISIS PERBANDINGAN KONFERENSI VIDEO STUDI KASUS : JARINGAN LAB PRAKTIKUM INTERNET UNIVERSITAS KRISTEN DUTA WACANA,71160099,"Konferensi video, Free Conference call, Jitsi, Jumpa.id, Jitter, Packet loss, Delay, Throughput.", analisa banding konferensi video studi jaring lab praktikum internet universitas kristen duta wacana pandemi covid guru ajar murid murid alih ajar tatap muka digital tatap muka digital butuh aplikasi cocok temu online konferensi video teliti aplikasi konferensi video kenal zoom google meet website site ex teliti aplikasi anggap layak aplikasi konferensi video kenal teliti pilih aplikasi populer zoom meet pilih aplikasi freeconferencecall com jitsi meet jumpa id aplikasi lokal indonesia aplikasi teliti teliti jaring aplikasi konferensi video teliti metode liput ancang implementasi ambil data  analisa data teliti parameter jaring liput jitter packet loss delay throughput uji 6 skenario beda temu hasil teliti teliti softperfect connection emulator wireshark alat uji ambil data paket port aplikasi teliti limit cepat jaring teliti nilai kualitas delay uji teliti hasil pikir teliti aplikasi alternative hitung kualitas jaring teliti uji lab praktikum internet universitas kristen duta wacana konferensi video free conference call jitsi jumpa id jitter packet loss delay throughput
91,IMPLEMENTASI INTERNET OF THINGS (IOT) PADA KOTAK OBAT PINTAR UNTUK LANSIA,71160001,"Lansia, Internet of Things, Smartphone, Aplikasi Android, System Usability Scale",implementasi internet of things iot kotak obat pintar lansia minum konsumsi obat waktu sakit obat resep dokter apoteker milik atur contoh obat konsumsi 3 2 1 atur makan makan pasien rawat rumah sakit awas suster dokter awas rumah sakit pasien rawat jalan pasien lansia hadir teknologi iot mahal kotak obat pintar pasien rawat jalan konsumsi obat implementasi teknologi iot aplikasi android atur kotak obat kotak obat pasien konsumsi obat modul alarm kotak obat pintar system usability scale sus ukur hasil aplikasi kotak obat pintar uji data uji sistem hasil uji kotak obat pintar data case sistem kotak obat pintar jalan mesti hasil uji aplikasi responden skor rata sus hasil skor aplikasi terima grade scale nila nilai good lansia internet of things smartphone aplikasi android system usability scale
92,KLASIFIKASI KOMENTAR UNTUK PENDUKUNG CAPRES DARI PORTAL BERITA MENGGUNAKAN METODE BERNOULLI NAIVE BAYES,71150011,"klasifikasi teks, bernoulli naive bayes, komentar berita",klasifikasi komentar dukung capres portal berita metode bernoulli naive bayes iring maju teknologi informasi komunikasi sebar informasi berita indonesia media online masyarakat bebas muka platform sosial media portal berita online klasifikasi komentar otomatis bantu sikap masyarakat berita fenomena ancang sistem bantu klasifikasi komentar berita kategori milu komentar 2 kelompok komentar dukung paslon joko widodo ma aruf amin komentar dukung paslon prabowo subianto sandiaga uno teliti tulis data situs portal berita online detik com data ambil grabber label sistem crowdsourcing proses preprocessing case folding stemming atur hapus singkat hapus emoticon angka olah negasi proses klasifikasi metode bernoulli naive bayes upa klasifikasi buah komentar sistem uji rata akurasi hasil 3 seleksi fitur-fitur fitur-fitur nilai accuracy fmeasure tinggi klasifikasi teks bernoulli naive bayes komentar berita
93,PERANCANGAN APLIKASI HUMAN RESOURCE INFORMATION SYSTEM (HRIS) PADA CV. ANDI OFFSET BERBASIS WEB,71160062,"HRIS, fungsionalitas, black box testing, test case",ancang aplikasi human resource information system hris cv andi offset bas website site  usaha cv andi offset karyawan kelola data sifat manual timbul data izin karyawan kertas cecer data presensi data karyawan informasi tunjang pisah file excel beda sulit hr kelola data karyawan manual kait salah solusi upaya aplikasi hris bas website site site manfaat hr salah bantu hr kelola data pegawai data keluarga mutasi pegawai informasi presensi kelola tunjang pegawai sistem komputerisasi aplikasi luput salah sistem uji identifikasi salah metode uji sistem metode black box testing fungsi sistem jalan sesuai harap uji butuh test case uji buah sistem dasar uji aplikasi human resource information system ambil simpul uji aplikasi metode black box testing tampil pesan salah salah salah data database hasil uji fungsionalitas aplikasi hris temu salah jalan sesuai harap hris fungsionalitas black box testing test case
94,PENGENALAN HURUF KATAKANA DENGAN ADAPTIVE THRESHOLD DAN FITUR ZONING,71160006,"bahasa Jepang, katakana, adaptive threshold, zoning, zone, euclidean distance",kenal huruf katakana adaptive threshold fitur-fitur zoning bahasa jepang bahasa bahasa jepang aksara kanji aksara hiragana aksara katakana salah aksara bahasa jepang aksara katakana tulis bahasa asing bahasa inggris bahasa jepang aksara katakana milik uni milik sudut tajam garis lurus indonesia ajar bahasa jepang sulit alfabet tulis program nali tulis aksara jepang adaptive threshold batas aksara katakana adaptive threshold zoning ambil nilai identifikasi karakter program harap bantu ajar bahasa jepang hasil akurasi program bangun zone 8 data latih hasil akurasi zone zone akurasi 1 karakter katakana dasar akurasi 1 karakter tenten maru hasil akurasi buruk letak zone tingkat akurasi 3 bahasa jepang katakana adaptive threshold zoning zone euclidean distance
95,IMPLEMENTASI K-NEAREST NEIGHBORS UNTUK PENGINGAT LETAK PARKIR PADA APLIKASI ANDROID,71150021,"K-Nearest Neighbors, Android, Pengingat Letak Parkir",implementasi knn knn letak parkir aplikasi android era kendara pribadi motor mobil lokasi parkir kendara pribadi susah temu kendara model warna teliti coba aplikasi letak parkir algoritma knn knn algoritma knn knn salah algoritma letak parkir hitung jarak sinyal wi-fi euclidean distance proses tulis ambil data upa nama sinyal wi-fi area parkir universitas kristen duta wacana data uji data simpan hitung euclidean distance jarak hasil disort algoritma knn knn tulis nilai 5 aplikasi hasil 5 banding nilai 1 4 hasil 5 akurat banding nilai 1 4 hasil sistem 5 sempurna coba tulis knn knn android letak parkir
96,SISTEM CERDAS PERMAINAN PAPAN THE BATTLE OF HONOR DENGAN DECISION MAKING DAN MACHINE LEARNING,71170135,"The Battle of Honor, Case-Based Reasoning, Rule-Based Systems, Unity, AI",sistem cerdas main papan the battle of honor decision making machine learnings the battle of honor main papan 2 main jatuh bendera lawan jalan main butuh peran wasit main bidak lawan peran wasit menang bidak tabrak salah wasit main solusi implementasi rule-based systems rbs sistem kembang unity dukung peran wasit putus dasar atur main salah menang atur jalan main teliti kembang artifisial intelligence ai lawan terap cbr reasoning cbr terap cbr ai lawan tindak dasar papan permainantanpa pangkat bidak lawan cbr solusi strategi ai lawan kondisi papan main terap cbr dukung algoritma knn knn cari memilikitingkat tinggi sukses rbs cbr 2 uji teliti uji dasar uji skenario uji dasar hasil uji cbr accuracy rumus tinggi 3 uji uji skenario ai wasit analisa bidak tabrak putus menang the battle of honor cbr reasoning rule-based systems unity ai
97,PENGENALAN KARAKTER OPTIK (OCR) AKSARA JAWA DENGAN CONVOLUTION NEURAL NETWORK,71170183,"Aksara Jawa, Convolutional Neural Network, CNN, GoogLeNet, Inception, OCR, akurasi, presisi, recall, f1-score, Batch Normalization",kenal karakter optik ocr aksara jawa convolution cnn network aksara jawa salah tinggal budaya indonesia upa tulis tradisional suku jawa jarang lestari bentuk fisik digital bantu mudah lestari aksara jawa digital tulis teliti kembang sistem kenal karakter optik ocr metode cnn cnn network cnn evaluasi dasar parameter akurasi presisi recall fokus aplikasi salah arsitektur cnn googlenet terap jaring inception tulis latih model data hasil scan buku manuskrip tulis aksara jawa cetak segmentasi data data minimal data kelas karakter model latih variasi parameter lapis normalisasi hasil divalidasi uji dasar metriks evaluasi akurasi presisi recall performance cnn latih model teliti latih model milik hasil latih batch size ukur epoch struktur arsitektur lapis normalisasi batch normalization hasil evaluasi uji tinggi analisa terap cnn latih model nali karakter optik aksara jawa efektif analisa evaluasi weighted-averaged data variasi kelas karakter aksara jawa cnn cnn network cnn googlenet inception ocr akurasi presisi recall batch normalization
98,"ANALISIS PERBANDINGAN PENGGUNAAN BANDWIDTH APLIKASI KONFERENSI ONLINE PADA WEBEX, GOOGLE MEET DAN ZOOM",71170164,"PCQ, Mikrotik, Zoom, Webex, Google Meet, Queue Tree", analisa banding bandwidth aplikasi konferensi online website site ex google meet zoom pandemi conference call concall sarana atur perintah covid atur aplikasi concall instansi aplikasi concall lonjak erti aplikasi cocok jaring daerah teliti teliti informasi qos quality of service aplikasi concall google meet website site ex zoom teliti teliti teliti client pc client batas jaring 0 metode pcq tree pcq teliti teliti 3 tahap kumpul data olah data variabel teliti banding aplikasi concall delay jitter packet loss throughput variabel ambil aplikasi wireshark wireshark mengcapture paket jaring port pakai aplikasi teliti teliti metode pcq tree pcq limit dinamis user alas teliti limit sesuai aplikasi hierarcy teliti aplikasi memliki turun performance signifikan jaring limit capai total jaring teliti teliti lab universitas kristen duta wacana teliti harap teliti baca informasi aplikasi bagus daerah milik cepat beda pcq mikrotik zoom website site ex google meet pcq tree
99,PEMBUATAN BACKEND DAN ANALISIS KUALITAS APLIKASI PENDATAAN UMAT PAROKI SANTA MARIA ASSUMPTA KLATEN,71160081,"Backend aplikasi paroki, load testing, availability testing, code coverage", back-end  analisa kualitas aplikasi data umat paroki santa maria assumpta klaten tahun paroki santa maria assumpta kabupaten klaten provinsi jawa tengah data umat sulit laksana data manual sulit utara tulis usul aplikasi data umat sistem aplikasi bas android nama gematen teliti tulis  back-end aplikasi data umat uji  back-end aplikasi umum bank sampah aplikasi gematen kriteria uji ambil iso karakteristik reliability sub karakteristik maturity availability fault tolerance karakteristik maintainability sub karakteristik testability sub karakteristik maturity uji  back-end akses sesuai kondisi normal sub karakteristik availability uji akses  back-end jam fault tolerance uji analisa hasil uji availability maturity testability hitung code coverage hasil uji sub karakteristik maturity  back-end aplikasi data umat umum bank sampah layan kondisi normal sub karakteristik availability  back-end aplikasi umum bank sampah layan jam  back-end data umat hasil uji sub karakteristik fault tolerance  back-end aplikasi data umat umum bank sampah tangan error akibat gagal sistem sub karakteristik testability  back-end aplikasi data umat umum bank sampah uji efektif efisien uji otomatis tingkat kualitas sistem tingkat kapasitas server layan email aman  back-end  back-end aplikasi paroki load testing availability testing code coverage
100,PENERAPAN VISUALISASI INFORMASI DASHBOARD UNTUK REPRESENTASI KEY PERFORMANCE INDICATOR KEGIATAN PERKULIAHAN,71150123,"Dashboard, Visualisasi, KPI",terap visualisasi informasi dashboard representasi key performance indicator giat kuliah universitas monitoring reporting analisa proses bisnis prodi informatika ukdw sistem dashboard giat kuliah analisa ambil putus dashboard giat kuliah database integrasi media analisa ambil putus cepat lapor bentuk kertas key performance indicator bangun sistem dashboard giat kuliah indikator rata hadir kelas rata ambil kuliah angkat rata nilai kelas rata ipk milik presensi kuliah ambil presensi metode user ucd design ucd bangun sistem dashboard giat kuliah uji task success kuesioner sus hasil uji task success kuesioner sus hitung combined metrics hasil teliti hasil hitung task success iterasi hasil hitung task success iterasi hasil hitung kuesioner sus iterasi hasil hitung combined metrics dasar hasil uji simpul iterasi iterasi task success alami tingkat 2 sistem dashboard terima acceptable grade rating good acu hasil uji metode user ucd design sesuai rancang dashboard pusat butuh analisa ambil putus kait giat kuliah dashboard visualisasi kpi
101,OBSERVASI PERANCANGAN IKON MENU UTAMA ATM MENGGUNAKAN KONSEP METAFOR,71150147,"ikon, user interface, ATM",observasi ancang ikon menu utama atm konsep metafor teknologi kembang mudah efektivitas timbang mesin sistem user mesin atm user interface bahasa kontekstual metafor interface nyaman user awam observasi tahap aplikasi konsep metaphor menu utama user interface mesin atm survei mesin atm beda menu utama terap konsep metafor ancang ikon evaluasi hasil ikon rancang bangun rancang ikon user interface studi atm pengaruh faktor terap konsep metafor umur profesi latar tingkat kenal teknologi bahan timbang pengaruh ikon rancang ikon user interface atm
102,PERANCANGAN DAN IMPLEMENTASI DASHBOARD KEUANGAN PERSEKUTUAN JOY INDONESIA DENGAN METODE USER CENTERED DESIGN,71170165,"Persekutuan JOY Indonesia,  Dashboard, User Centered Design",ancang implementasi dashboard uang sekutu joy indonesia metode user ucd design sekutu joy indonesia buah organisasi non-profit kota yogyakarta sekutu joy indonesia gerak bidang layan mahasiswa kristen katolik anggota mahasiswa mahasiswi kampus yogyakarta uang sekutu joy indonesia sepenuh dukung alumni organisasi dukung korea kelola uang sepenuh staff manajemen kelola uang excel lapor bentuk file pdf publikasi website site site sekutu alumni dukung dana prioritas dukung dana capai target anggar teliti kembang buah dashboard bas website site  metode user ucd design ucd bantu staff manajemen sekutu joy indonesia kelola data uang mudah alumni dukung memonitoring uang sekutu hasil teliti dashboard kembang metode ucd efektif terima sekutu joy indonesia dashboard user ucd design
103,PEMBUATAN MIDDLEWARE UNTUK MENGHUBUNGKAN LINE DAN TELEGRAM DENGAN APLIKASI CHATTING MODIFIKASI,71170202,"Chat bridge, Middleware, Telegram bot, Line bot, Instant messenger",middleware hubung line telegram aplikasi chatting modifikasi aplikasi chatting facebook messenger whatsapp telegram line wechat batas kirim pesan aplikasi chatting solusi manfaat aplikasi chatting maksimal komunikasi komunikasi aplikasi chatting batas komunikasi aplikasi chatting chatting chat teliti tulis kenal desain middleware gambar hubung aplikasi masyarakat aplikasi chatting modifikasi metode api website site hook middleware kirim pesan layan telegram bot line bot hasil uji pesan tipe text karakter variasi sesuai testing gambar ukur data pengaruh signifikan nilai p-valuenya 0 pesan file video ukur pengaruh performance nilai p-valuenya 0 chat bridge middleware telegram bot line bot instant messenger
104,PEMBANGUNAN DASHBOARD PENGADAAN BARANG PADA BISNIS RITEL,71170144,"Data Mart, Column-based , Dashboard, Pengadaan Barang, Key Performance Indicator (KPI)",bangun dashboard barang bisnis ritel data kait barang hasil transaksi barang transaksi catat record buah database lapor transaksi barang rekap data transaksi barang toko milik usaha ritel xyz bangun data mart teliti data transaksi barang toko usaha ritel implementasi database bas column-based bantu singkat waktu query record data mart teliti bantu usaha ritel analisa data data mart sesuai key performance indicator kpi usaha visualisasi dashboard teliti python dash sarana visualisasi dashboard tahap evaluasi alam user experience quesionaire ueq hasil evaluasi ueq aspek skala daya tarik rata 2 efisiensi rata 2 rata 2 stimulasi rata 2 baharu rata 1 hasil skor excellent aspek skala rata 1 hasil skor above average data mart column-based dashboard barang key performance indicator kpi
105,"PEMANFAATAN SEAMLESS WIRELESS (EOIP) DAN GPS
PADA SISTEM PERINGATAN PERLINTASAN KERETA TANPA PALANG PINTU",71150008,"Sistem kereta, sistem otomatis, seamless EoIP, nodes, perlintasan kereta",manfaat seamless wireless eoip gps sistem lintas kereta palang pintu muncul lintas kereta liar palang pintu jaga celaka lintas kereta api selesai buah sistem deteksi kereta lintas waspada hati lintas kereta api palang pintu celaka kerap lalai manusia bangun sistem otomatis kereta manfaat teknologi seamless wireless ethernet over internet protocol eoip teliti uji prototype lingkung ukdw lintas - meter 1 mcu micro controller unit 1 gps module node kereta 2 mcu 2 unit lcd module 2 servo motor 2 buzzer 2 node lintas kereta sistem uji coba checklist uji uji node kereta kirim informasi bentuk longitude latitude server server hitung jarak node kereta node lintas hasil jarak kirim node lintas kereta kece jarak node lintas kereta jarak palang tutup buka coba simpul sistem otomatis kereta deteksi kereta hasil bangun jalan sesuai flow sistem rancang lengkap manfaat teknologi seamless wireless eoip bangun jaring titik buta jangkau operator seluler gsm seamless wireless eoip cocok bantu bangun sistem kereta api palang otomatis bukti alat hubung putus coba sistem kereta sistem otomatis seamless eoip nodes lintas kereta
106,"ANALISIS PERBANDINGAN KINERJA ZOOM, GOOGLE MEET DAN MICROSOFT TEAMS DENGAN PEMBERIAN BEBAN JARINGAN",71170177,"Aplikasi meeting, Beban jaringan, Google meet, Zoom, Ms. teams, Wireshark", analisa banding zoom google meet microsoft teams beban jaring pandemi covid topik bicara hangat dunia virus milik dampak henti giat tatap muka internet online meeting alami tingkat februari maret teliti putus teliti kualitas audio video aplikasi meeting zoom google meet ms teams populer pakai beban jaring level aplikasi bagus meeting kondisi jaring minimal teliti survei lapang survei kece ruang internet prasarana butuh tahap uji langkah cari aplikasi meeting banding cari aplikasi meeting populer uji teliti banding kualitas audio video hasil banding variabel throughput paket loss delay jitter beban lag aplikasi teliti aplikasi tahan beban ekstrem alam aplikasi aplikasi meeting hitung hasil banding variabel teliti buah script bahasa python bantu hitung data paket jaring wireshark rata rata banding diagram uji aplikasi meeting segi kualitas beban jaring beban jaring dampak aplikasi meeting google meet salah aplikasi meeting milik sensitivitas tinggi beban jaring aplikasi meeting beban jaring google meet zoom ms teams wireshark
107,PENERAPAN METODE GOAL QUESTION METRICS DALAM MEMBANGUN ANTARMUKA SISTEM INFORMASI JAMU TRADISIONAL INDONESIA,71150030,"usability, goal question metrics(GQM)",terap metode goal question metrics bangun antarmuka sistem informasi jamu tradisional indonesia teliti bangun antarmuka sistem informasi jamu tradisional indonesia masyarakat indonesia jamu salah obat alternative kenal ekonomis manfaat jamu beda aci sistem konsep konteks sistem milik paham informasi olah akses masyarakat luas antarmuka sistem nilai attractive antarmuka mudah informasi butuh bangun sistem metode goal question metrics gqm fokus kembang perangkat lunak ukur produk teliti uji efisiensi angka task on time task success efisiensi evaluasi sistem sus kuesioner dasar antarmuka kembang uji hitung time on task angka desain tingkat angka desain task success desain nilai desain nilai hasil sus alami tingkat desain simpul sistem informasi jamu tradisional indonesia terima usability goal question metrics gqm
108,PENGEMBANGAN SISTEM TEMU KEMBALI BERBASIS WEB MENGGUNAKAN ALGORITMA TOLERANCE VALUE GENERATOR,71150004,"Solr, Tolerance Value Generator, Information Retrieval, API",kembang sistem temu bas website site  algoritma tolerance value generator sistem temu sistem informasi kumpul sumber informasi relevan sistem kembang mesin cari solr lengkap tesaurus tesaurus kumpul kelompok kelompok dasar hubung tesaurus teliti bas tolerance rough set model hasil algoritma tolerance value generator algoritma tolerance value generator algoritma hasil nilai theta syarat bentuk tesaurus teliti nilai theta hasil nila beda nilai theta hasil teliti metode objek teliti nilai mean average precision topik utama hasil nilai 0 nilai mean average precision topik responden api implementasi hasil nilai 0 simpul implementasi api tesaurus bas trsm alami turun query tesaurus dokumen relevan sistem waktu runtime bentuk tesaurus bahasa pemrograman bangun sistem dukung gpu nilai theta hasil optimal modifikasi algoritma teliti waktu runtime solr tolerance value generator information retrieval api
109,IMPLEMENTASI EKSTRAKSI FITUR KETEBALAN RIDGE SIDIK JARI DENGAN MENGHITUNG BANYAKNYA PIKSEL,71150002,"ketebalan ridge, K-Nearest Neighbor, ekstraksi fitur, sidik jari",implementasi ekstraksi fitur-fitur tebal ridge sidik jari hitung piksel makalah tebal ridge sidik jari klasifikasi jenis kelamin tebal ridge ridge digital ridge utama teliti uji tebal ridge sidik jari jenis kelamin sampel teliti sidik jari data latih sidik jari data uji total sampel sidik jari pria sidik jari wanita responden ambil sidik jari gambar sidik jari ambil pra-pemrosesan gambar klasifikasi sidik jari tama cari tebal ridge tebal ridge data uji temu hasil hitung hitung euclidean distance knn knn klasifikasi jenis kelamin hasil teliti sidik jari pria milik akurasi kvalue 3 k-value 5 k-value 7 hasil akurasi sidik jari wanita k-value 3 k-value 5 k-value 7 tebal ridge knn knn ekstraksi fitur-fitur sidik jari
110,VISUALISASI DATA NILAI RAPOR SISWA SMA NEGERI 1 PANDIH BATU,71150050,"Visualisasi Data, Waterfall, System Usability Scale, Key Performance Indicator",visualisasi data nilai rapor siswa sma negeri 1 pandih batu indonesia milik jenjang didik didik usia sekolah tengah guru tinggi tahap selesai didik selesai didik butuh aspek liput nilai sikap terampil sekolah ukur siswa alami sma negeri 1 pandih batu sistem bantu sekolah komputerisasi data nilai siswa data milik olah excel kelola kualitas sekolah sma negeri 1 pandih batu teliti tahap teliti metode waterfall tahap wawancara sekolah wakasek bidang kurikulum analisa butuh sistem tahap tahap key performance indicator kpi tahap desain sistem acu hasil wawancara desain sistem bangun diskusi sekolah sistem bangun sesuai butuh sekolah tahap implementasi sistem desain bangun implementasi buah sistem visualisasi data bas website site  sistem hasil bangun tahap evaluasi sistem evaluasi sistem kuesioner system usability scale sus sekolah uji coba sistem task skenario wakasek bidang kurikulum hasil teliti sistem bangun terima kpi pakat jalan sesuai skenario uji hasil wakasek bidang kurikulum selesai task uji sus skor 5 nilai acceptability ranges hasil acceptable nilai batas nilai grade scale teliti skor nilai adjective rating nilai good sistem terima hasil skor visualisasi data waterfall system usability scale key performance indicator
111,PEMILIHAN KOMBINASI FITUR UNTUK AUTHOR VERIFICATION DENGAN METODE CLUSTERING K-MEANS PADA TEKS BERBAHASA INDONESIA,71160018,"Identitas tulisan seseorang, Verifikasi penulis, Fitur stylometry",pilih kombinasi fitur-fitur author verification metode clustering k-means teks bahasa indonesia tipu identitas umum media tulis fisik suara sistem beda identitas tulis identitas tulis dianalisa fitur-fitur stylometry fitur-fitur salah faktor sistem verifikasi tulis jalan penelitan asumsi kombinasi fitur-fitur stylometry hasil representasi gaya tulis proses klasterisasi klasifikasi dokumen dasar gaya tulis hasil nilai evaluasi klasterisasi purity klasifikasi akurasi presisi sensitivitas fscore puasa hasil teliti dokumen bahasa indonesia klasifier mknn knn svm menunujukan nilai purity gambar nilai evaluasi klasifikasi kombinasi fitur-fitur nilai purity 0 5 milik nilai evaluasi klasifikasi 0 5 hemat proses kombinasi fitur-fitur nilai purity 0 5 proses klasifikasi kombinasi fitur-fitur kandung fitur-fitur frekuensi relatif tanda baca fitur-fitur sintaksis frekuensi relatif stopword fitur-fitur sintaksis cenderung milik nilai evaluasi klasifikasi klasterisasi kombinasi fitur-fitur kandung fitur-fitur fitur-fitur rata paragraf fitur-fitur struktural kombinasi fitur-fitur kombinasi fitur-fitur klasifier identitas tulis verifikasi tulis fitur-fitur stylometry
112,SISTEM PREDIKSI HARGA SAHAM LQ45 DENGAN RANDOM FOREST CLASSIFIER,71150151,"saham, LQ45, technical analysis, random forest",sistem prediksi harga saham random forest classifier teliti ukur performance metode random forest prediksi ubah harga saham data ringkas saham usaha daftar indeks versi agustus januari tanggal 1 juli desember technical indicator teliti on-balance volume chaikin oscillator moving average convergence divergence bollinger bands data bentuk model kode saham rentang waktu tipe fitur-fitur rentang waktu prediksi 1 5 tipe fitur-fitur bentuk model plain nilai ringkas saham technical indicator-nya grouped fiturnya kondisi technical indicator turun nilai garis nol positif nol negatif onehot fiturnya hasil onehot encoding fitur-fitur grouped model bentuk prediksi ubah harga saham nilai turun nilai akurasi hitung confusion matrix hasil uji data latih nilai tipe fitur-fitur plain rentang waktu 5 capai hasil uji data uji turun banding data latih tipe fitur-fitur plain performance kode saham akurasi rentang waktu enam kode saham rentang waktu belas kode saham rentang waktu puluh sembilan kode antm capai akurasi 6 saham technical analysis random forest
